Réseau;Station;Trafic;Correspondance_1;stop_name;coord;stop_lat;stop_lon
Métro;LES SABLONS;5740806;1;LES SABLONS;48.8810473477, 2.2715612037;48.88104734772718;2.2715612036989734
Métro;LES SABLONS;5740806;1;LES SABLONS;48.9722405168, 2.37562634796;48.97224051683529;2.375626347962541
Métro;LES SABLONS;5740806;1;LES SABLONS;48.881317376, 2.27231032447;48.88131737599348;2.272310324470121
Métro;LES SABLONS;5740806;1;LES SABLONS;48.8810473477, 2.2715612037;48.88104734772718;2.2715612036989734
Métro;LES SABLONS;5740806;1;LES SABLONS;48.881317376, 2.27231032447;48.88131737599348;2.272310324470121
Métro;LES SABLONS;5740806;1;LES SABLONS;48.8810473477, 2.2715612037;48.88104734772718;2.2715612036989734
Métro;LES SABLONS;5740806;1;LES SABLONS;48.7975940841, 2.2818294409;48.79759408413707;2.2818294408965842
Métro;LES SABLONS;5740806;1;LES SABLONS;48.7975940841, 2.2818294409;48.79759408413707;2.2818294408965842
Métro;LES SABLONS;5740806;1;LES SABLONS;48.797432347, 2.28192484561;48.79743234704115;2.2819248456131125
Métro;LES SABLONS;5740806;1;LES SABLONS;48.797432347, 2.28192484561;48.79743234704115;2.2819248456131125
Métro;LES SABLONS;5740806;1;LES SABLONS;48.9722405168, 2.37562634796;48.97224051683529;2.375626347962541
Métro;LES SABLONS;5740806;1;LES SABLONS;48.797432347, 2.28192484561;48.79743234704115;2.2819248456131125
Métro;LES SABLONS;5740806;1;LES SABLONS;48.9713688587, 2.37550284878;48.971368858701354;2.3755028487831007
Métro;LES SABLONS;5740806;1;LES SABLONS;48.797432347, 2.28192484561;48.79743234704115;2.2819248456131125
Métro;LES SABLONS;5740806;1;LES SABLONS;48.7975940841, 2.2818294409;48.79759408413707;2.2818294408965842
Métro;LES SABLONS;5740806;1;LES SABLONS;48.7975940841, 2.2818294409;48.79759408413707;2.2818294408965842
Métro;COUR SAINT-EMILION;5859214;14;;;;
Métro;BERCY;5544847;6;BERCY;48.8275501544, 2.39291609994;48.82755015444301;2.3929160999411563
Métro;BERCY;5544847;6;BERCY;48.8275501544, 2.39291609994;48.82755015444301;2.3929160999411563
Métro;BERCY;5544847;6;BERCY;48.8275501544, 2.39291609994;48.82755015444301;2.3929160999411563
Métro;ALESIA;5207485;4;;;;
Métro;CROIX DE CHAVAUX;5215902;9;;;;
Métro;SAINT-DENIS-UNIVERSITE;4875315;13;;;;
Métro;PLAISANCE;4903776;13;PLAISANCE;48.9057588675, 2.25229366926;48.90575886747136;2.252293669264245
Métro;PLAISANCE;4903776;13;PLAISANCE;48.9057152579, 2.25417509737;48.905715257896006;2.254175097374357
Métro;PLAISANCE;4903776;13;PLAISANCE;48.9057152579, 2.25417509737;48.905715257896006;2.254175097374357
Métro;PLAISANCE;4903776;13;PLAISANCE;48.9057152579, 2.25417509737;48.905715257896006;2.254175097374357
Métro;PLAISANCE;4903776;13;PLAISANCE;48.8311737134, 2.31294110016;48.83117371337203;2.3129411001648665
Métro;PLAISANCE;4903776;13;PLAISANCE;48.8330339068, 2.3117830458;48.83303390678229;2.311783045797641
Métro;PERE LACHAISE;4808099;2;;;;
Métro;BONNE NOUVELLE;4786149;8;;;;
Métro;COLONEL FABIEN;4706560;2;COLONEL FABIEN;48.7704079793, 2.48463811058;48.7704079792521;2.4846381105808426
Métro;COLONEL FABIEN;4706560;2;COLONEL FABIEN;48.8120908164, 2.2805483798;48.81209081636463;2.280548379801124
Métro;COLONEL FABIEN;4706560;2;COLONEL FABIEN;48.7704079793, 2.48463811058;48.7704079792521;2.4846381105808426
Métro;COLONEL FABIEN;4706560;2;COLONEL FABIEN;48.7705248574, 2.48461124703;48.77052485741398;2.4846112470308515
Métro;COLONEL FABIEN;4706560;2;COLONEL FABIEN;48.7705248574, 2.48461124703;48.77052485741398;2.4846112470308515
Métro;COLONEL FABIEN;4706560;2;COLONEL FABIEN;48.8120908164, 2.2805483798;48.81209081636463;2.280548379801124
Métro;COLONEL FABIEN;4706560;2;COLONEL FABIEN;48.8115157423, 2.28084839002;48.811515742348966;2.2808483900184924
Métro;COLONEL FABIEN;4706560;2;COLONEL FABIEN;48.8115157423, 2.28084839002;48.811515742348966;2.2808483900184924
Métro;COLONEL FABIEN;4706560;2;COLONEL FABIEN;48.8001505514, 2.3381662339;48.80015055137099;2.3381662339042717
Métro;COLONEL FABIEN;4706560;2;COLONEL FABIEN;48.8782477025, 2.37085587592;48.87824770254371;2.370855875922014
Métro;COLONEL FABIEN;4706560;2;COLONEL FABIEN;48.9132916383, 2.50537442358;48.913291638269826;2.5053744235784774
Métro;COLONEL FABIEN;4706560;2;COLONEL FABIEN;48.8120908164, 2.2805483798;48.81209081636463;2.280548379801124
Métro;COLONEL FABIEN;4706560;2;COLONEL FABIEN;48.7976068529, 2.34303664535;48.79760685291465;2.3430366453536995
Métro;COLONEL FABIEN;4706560;2;COLONEL FABIEN;48.7973641672, 2.34330870957;48.79736416717576;2.3433087095747847
Métro;COLONEL FABIEN;4706560;2;COLONEL FABIEN;48.7973641672, 2.34330870957;48.79736416717576;2.3433087095747847
Métro;COLONEL FABIEN;4706560;2;COLONEL FABIEN;48.8782477025, 2.37085587592;48.87824770254371;2.370855875922014
Métro;COLONEL FABIEN;4706560;2;COLONEL FABIEN;48.878004969, 2.3711282331;48.8780049689761;2.371128233095997
Métro;COLONEL FABIEN;4706560;2;COLONEL FABIEN;48.7976068529, 2.34303664535;48.79760685291465;2.3430366453536995
Métro;COLONEL FABIEN;4706560;2;COLONEL FABIEN;48.7886761363, 2.37466096904;48.788676136286725;2.3746609690403804
